"City","State","Locations","Packages","Internets","TVs"
"Southlake","Texas","[11558249]","[15899482]","[12704310]","[13999342]"
"Lumberton","North Carolina","[15058506]","[15899188]","[12702625]","[13997384]"
"Rio Grande City","Texas","[1457258]","[15902723]","[12701475]","[13999131]"
"Lee","Massachusetts","[1747615]","[15901728]","[12701045]","[13999064]"
"Covington","Georgia","[5825906]","[15900454]","[12698608]","[13998592]"
"Ontario","California","[3872761]","[15905817]","[12702054]","[13992493]"
"Dublin","Georgia","[5826137]","[15896779]","[12704917]","[13991132]"
"Syracuse","New York","[1457295]","[15901987]","[12700988]","[13999999]"
"Lincoln","Nebraska","[1747710,15814444]","[15906157]","[12703203]","[13996088]"
"Birmingham","Alabama","[5826020,12143961]","[15898168]","[12700429]","[13997503]"
"Marion","Indiana","[5825932]","[15904916]","[12698800]","[13996324]"
"Porterville","California","[5826105]","[15904784]","[12699732]","[13991023]"
"Riverview","Florida","[15617239]","[15903791]","[12703389]","[13991028]"
"Winslow","Maine","[1457293]","[15906135]","[13139953]","[13995350]"
"Wauwatosa","Wisconsin","[1457227]","[15904364]","[13141325]","[13994068]"
"Cleveland","Tennessee","[5825978]","[15900660]","[12704417]","[13996660]"
"Gorham","New Hampshire","[1457183]","[15905752]","[12703936]","[14000095]"
"Rochester","Minnesota","[12117143,12902789]","[15897420]","[12699572]","[13997002]"
"Kahului","Hawaii","[15925290]","[15902052]","[12703860]","[13991378]"
"Russellville","Alabama","[5825991]","[15899085]","[12703056]","[13993364]"
"Evansville","Indiana","[1747607]","[15904973]","[12702271]","[13999016]"
"Sevierville","Tennessee","[5826170]","[15903508]","[12700313]","[14000827]"
"Winona","Minnesota","[5825975]","[15904956]","[12703490]","[13998110]"
"Albany","New York","[1457140]","[15900718]","[12703745]","[13998548]"
"Albertville","Alabama","[5826203]","[15901613]","[12702748]","[13995151]"
"Klamath Falls","Oregon","[13539677]","[15905967]","[12702620]","[13999277]"
"Santa Monica","California","[12922417]","[15899656]","[12702400]","[13996161]"
"Montclair","California","[12237361]","[15896793]","[12704865]","[13991630]"
"Mount Sterling","Kentucky","[1747628]","[15898950]","[12699473]","[13998042]"
"Burlington","North Carolina","[1747669]","[15899470]","[12703669]","[13998783]"
"North Wilkesboro","North Carolina","[5825947]","[15901036]","[12701883]","[13991009]"
"Mission","Texas","[12117297]","[15901546]","[12700713]","[13991628]"
"Bozeman","Montana","[14191385]","[15901915]","[12703083]","[13996870]"
"Waite Park","Minnesota","[5826113]","[15902978]","[12703569]","[13999583]"
"Honolulu","Hawaii","[11651792]","[15903040]","[12704182]","[13991370]"
"Pearl City","Hawaii","[14191389]","[15900912]","[12703462]","[13996353]"
"Billings","Montana","[12981523]","[15902040]","[12703912]","[13990893]"
"Newark","Ohio","[1747539]","[15902825]","[12699885]","[13992908]"
"Wetumpka","Alabama","[5826111]","[15899251]","[12703904]","[14000435]"
"Enterprise","Alabama","[1457161]","[15897088]","[12698538]","[13993714]"
"Greenville","South Carolina","[5825923,12508713]","[15906154]","[12701445]","[13995851]"
"Kapolei","Hawaii","[15058019]","[15903206]","[12700706]","[13998428]"
"Astoria","Oregon","[5825905]","[15897268]","[12700008]","[13990884]"
"Brownsville","Texas","[2833315]","[15901890]","[12704997]","[13995597]"
"Temple","Texas","[2069559]","[15901333]","[12702485]","[13993169]"
"Monroe","North Carolina","[1747578]","[15905409]","[12702538]","[13996329]"
"Orange City","Florida","[12335064]","[15905367]","[12703626]","[13994863]"
"Terre Haute","Indiana","[1747593]","[15903687]","[12699160]","[13997237]"
"Kaneohe","Hawaii","[1457204]","[15899912]","[12701280]","[13996720]"
"Holland","Michigan","[5825981]","[15902353]","[12700116]","[13993506]"
"West Branch","Michigan","[5826096]","[15905085]","[12704320]","[13992976]"
"Brooklyn","New York","[1747742,12903156,13539654,15016468]","[15902155]","[12703751]","[13995802]"
"San Marcos","Texas","[1747543]","[15898726]","[12698742]","[13999983]"
"Roanoke Rapids","North Carolina","[8558195]","[15897470]","[12702888]","[13999328]"
"Apopka","Florida","[13114564]","[15897208]","[12703246]","[13999403]"
"Charlotte","North Carolina","[1747668,2900606,15968122]","[15903903]","[12698692]","[13995811]"
"Southbridge","Massachusetts","[5826009]","[15906432]","[12704885]","[13997022]"
"Georgetown","South Carolina","[3872750]","[15900058]","[12700360]","[13991785]"
"Grove City","Ohio","[1747693]","[15900338]","[12703939]","[13993950]"
"Ocoee","Florida","[12415316]","[15902718]","[12701224]","[13998898]"
"Matthews","North Carolina","[13347620]","[15899624]","[12701624]","[13995044]"
"Melbourne","Florida","[5826173,13717858]","[15899366]","[12704538]","[13993763]"
"Cullman","Alabama","[5826067]","[15900713]","[12703425]","[13998378]"
"Oscoda","Michigan","[5826097]","[15904644]","[12699729]","[13995702]"
"Alpena","Michigan","[5826040]","[15904556]","[12702083]","[13991723]"
"Batavia","New York","[1457126]","[15897801]","[12700176]","[13992361]"
"Saint Petersburg","Florida","[5826055]","[15902367]","[12702397]","[13994048]"
"Hickam AFB","Hawaii","[1457193]","[15899868]","[]","[]"
"Lincolnton","North Carolina","[5825970]","[15899028]","[12702871]","[13990772]"
"Laredo","Texas","[1747638]","[15898318]","[12703529]","[13993105]"
"Dunkirk","New York","[1747685]","[15896799]","[12700607]","[13991972]"
"Yuma","Arizona","[12731510]","[15896916]","[12702079]","[13997262]"
"Burbank","California","[13322933]","[15906131]","[12699927]","[13995172]"
"Augusta","Maine","[13790691]","[15902146]","[12699339]","[13995369]"
"Mililani","Hawaii","[15400763]","[15897333]","[12700712]","[13993123]"
"Akron","Ohio","[1457117]","[15906610]","[12701167]","[13994301]"
"Green Bay","Wisconsin","[1747644]","[15898915]","[12698789]","[13996702]"
"Owosso","Michigan","[5826178]","[15904571]","[12705103]","[13992700]"
"Cadillac","Michigan","[5826158]","[15899587]","[12700595]","[13993687]"
"San Marcos","California","[13336906]","[15897256]","[12700311]","[14001203]"
"Statesville","North Carolina","[1457274]","[15905213]","[12702813]","[13998509]"
"Alton","Illinois","[5826086]","[15906173]","[12700754]","[13996853]"
"Defiance","Ohio","[1457147]","[15905750]","[12701101]","[14000074]"
"Mansfield","Ohio","[1747591]","[15901398]","[12701286]","[13996105]"
"Middletown","New York","[1747614]","[15901885]","[12703210]","[13995262]"
"Kent","Ohio","[1457206]","[15906132]","[13140618]","[13995014]"
"Poughkeepsie","New York","[1747552]","[15898031]","[12698653]","[13991230]"
"Ashtabula","Ohio","[14990798]","[15906033]","[12700007]","[13990882]"
"Niagara Falls","New York","[13114803]","[15901794]","[12703124]","[13991421]"
"Forest Hills","New York","[13861316]","[15898569]","[12698784]","[13992619]"
"Port Clinton","Ohio","[1457251]","[15898331]","[12701640]","[13994027]"
"Cleveland","Ohio","[14848403]","[15899104]","[12703919]","[13994119]"
"Tillamook","Oregon","[5825944]","[15898108]","[12700157]","[13995123]"
"Geneva","New York","[1457177]","[15899911]","[12702762]","[13996699]"
"Troy","New York","[2069560]","[15901349]","[12703067]","[13993604]"
"Hilo","Hawaii","[1457196]","[15904076]","[12699210]","[13992869]"
"Watertown","New York","[1747675]","[15897016]","[12702158]","[13990857]"
"Fremont","Nebraska","[1457173]","[15904370]","[12703024]","[13994571]"
"Barstow","California","[1747606]","[15901313]","[12700336]","[13992575]"
"Saco","Maine","[1457260]","[15901765]","[12699654]","[14001039]"
"Lakeville","Minnesota","[5826024]","[15898698]","[12703798]","[13998650]"
"Altamonte Springs","Florida","[11775208]","[15900514]","[12703329]","[14000880]"
"Fayetteville","North Carolina","[14443583]","[15897465]","[12704430]","[13999018]"
"Carrollton","Georgia","[5826011]","[15905296]","[12702171]","[13991753]"
"Louisville","Kentucky","[1747656,1747684,1747695,11894527,12728983]","[15901060]","[12700708]","[13992032]"
"Athens","Georgia","[5825911]","[15901352]","[12698930]","[13993879]"
"Carson City","Nevada","[5826104]","[15901564]","[12700342]","[13992589]"
"Cypress","California","[12635225]","[15903119]","[12703010]","[13994346]"
"Clearwater","Florida","[5826071,10768765]","[15899652]","[12704251]","[13996030]"
"La Quinta","California","[13539717]","[15904159]","[12700046]","[13996313]"
"Port Orange","Florida","[13291933]","[15901264]","[12700562]","[14001024]"
"DeWitt","New York","[14820197]","[]","[]","[]"
"Worcester","Massachusetts","[5826197]","[15903630]","[12698674]","[13994716]"
"Garland","Texas","[13477560]","[15903585]","[12699113]","[13993267]"
"Lexington","Tennessee","[5825930]","[15898124]","[12704773]","[13995677]"
"Williamsville","New York","[1457120]","[15906441]","[13139007]","[13997259]"
"Westfield","New York","[1747585]","[15904200]","[12702657]","[13998105]"
"Live Oak","Texas","[12141421]","[]","[]","[]"
"Lanai City","Hawaii","[1457214]","[15899455]","[12704277]","[13998228]"
"Albemarle","North Carolina","[1747636]","[15898981]","[12700422]","[13999402]"
"Stevens Point","Wisconsin","[13014971]","[15902839]","[12702483]","[13993383]"
"Childersburg","Alabama","[5826094]","[15905433]","[12704168]","[13997303]"
"Lorain","Ohio","[1747600]","[15901007]","[12701456]","[14000548]"
"Saint Louis","Missouri","[5826164]","[15901393]","[12703472]","[13995952]"
"Middlesboro","Kentucky","[1457229]","[15902613]","[12704371]","[13994629]"
"Hartsville","South Carolina","[1747610]","[15905937]","[12701199]","[13998209]"
"Clarksburg","West Virginia","[1747705]","[]","[12704588]","[]"
"Newtown","Connecticut","[5826201]","[15900161]","[12700885]","[13996119]"
"Fontana","California","[15495218]","[15903721]","[12704603]","[13998613]"
"Horseheads","New York","[1457159]","[15902685]","[12703792]","[13997571]"
"Ironwood","Michigan","[5825966]","[15905422]","[12704025]","[13996927]"
"Greenville","Michigan","[5825924]","[15899256]","[12698711]","[14000521]"
"Macedonia","Ohio","[12903680]","[15902362]","[12700872]","[13993979]"
"Cedartown","Georgia","[5825904]","[15904665]","[12699603]","[13996453]"
"Staten Island","New York","[1457273,1747523]","[15900007]","[12703311]","[14000403]"
"Lockport","New York","[12335270]","[15897072]","[12699130]","[13993114]"
"Lahaina","Hawaii","[16048936]","[15898483]","[12704526]","[14000335]"
"Orlando","Florida","[5826030,5826098,11557414,11775185,12213188,12213195,12635301,15593698]","[15897423]","[12700643]","[13997188]"
"Grand Island","Nebraska","[12635285]","[15902920]","[12702113]","[13996701]"
"Huntersville","North Carolina","[1457200]","[15896773]","[12700785]","[13990959]"
"Corbin","Kentucky","[1457143]","[15903074]","[12704335]","[13992822]"
"Lake Geneva","Wisconsin","[1457213]","[15900156]","[12699218]","[13995882]"
"Norwalk","Ohio","[1747654]","[15906551]","[12699057]","[13991644]"
"Overland","Missouri","[5826206]","[15904085]","[13140687]","[13993339]"
"Glendora","California","[1457180]","[15906230]","[12704847]","[13999452]"
"Mentor","Ohio","[2069563]","[15896841]","[12701880]","[13993317]"
"Jackson","Tennessee","[5826207]","[15902747]","[12700210]","[14000120]"
"Gardendale","Alabama","[5826177]","[15901993]","[12699112]","[14000312]"
"Denton","Texas","[5826061]","[15897903]","[12700683]","[13996677]"
"Auburn","Maine","[12981821]","[15897874]","[12701172]","[13995367]"
"Gillette","Wyoming","[5826119]","[15903893]","[12700112]","[13995429]"
"Fort Rucker","Alabama","[1457170]","[15901834]","[12699279]","[13993065]"
"Roseburg","Oregon","[5826148]","[15899606]","[12702060]","[13994452]"
"Montrose","Colorado","[5825968]","[15901432]","[12701129]","[13997608]"
"Paso Robles","California","[12732019]","[15905729]","[12703965]","[13999314]"
"Orange","Texas","[1747665]","[15902547]","[12702547]","[13991852]"
"Rancho Cucamonga","California","[5825953]","[15905084]","[12700397]","[13992924]"
"Cheyenne","Wyoming","[5826157]","[15904456]","[12704089]","[13998158]"
"Harlingen","Texas","[1747635]","[15906147]","[12703518]","[13995654]"
"Rome","New York","[1747542]","[15905687]","[12699653]","[13997427]"
"Bakersfield","California","[5826129,16048931]","[15903646]","[12699014]","[13995370]"
"Costa Mesa","California","[13191424]","[15904961]","[12700519]","[13998589]"
"Opelousas","Louisiana","[5826145]","[15902783]","[12699728]","[13991015]"
"Orangeburg","South Carolina","[12669972]","[15906511]","[12702303]","[14000587]"
"Coshocton","Ohio","[2552769]","[15902361]","[12700185]","[13993917]"
"Stockbridge","Georgia","[13010413]","[15903339]","[12703895]","[13993597]"
"Hopkinsville","Kentucky","[1457198]","[15900083]","[12699123]","[13992875]"
"Santa Paula","California","[1457264]","[15902525]","[12699324]","[13990613]"
"Kansas City","Kansas","[1747750]","[15897479]","[12701114]","[13999715]"
"Alhambra","California","[5826181]","[15903987]","[12700837]","[13999825]"
"Astoria","New York","[2672575,11147821]","[15897149]","[12699341]","[13996639]"
"Willmar","Minnesota","[5826112]","[15897988]","[12700163]","[14000232]"
"Victor","New York","[12795583]","[15901969]","[12698668]","[13999369]"
"Torrance","California","[1457129,1457280]","[15902087]","[12700493]","[13993173]"
"Strongsville","Ohio","[15925049]","[15906302]","[12698500]","[13991474]"
"Rialto","California","[15091529]","[15904883]","[12700894]","[13994659]"
"Columbus","Nebraska","[1457142]","[15899990]","[12701674]","[13999856]"
"Center Conway","New Hampshire","[1747712]","[15905975]","[12703089]","[13999422]"
"Austin","Texas","[1457269,1747525,14990765,15016486,15925311]","[15905108]","[12700755]","[13994095]"
"Irving","Texas","[12268713]","[15899505]","[12703859]","[14000532]"
"City of Industry","California","[1747586]","[]","[]","[]"
"Petoskey","Michigan","[5826050]","[15905077]","[12698569]","[13992702]"
"Inglewood","California","[13322920]","[15898070]","[12700703]","[13993090]"
"Newnan","Georgia","[5826125]","[15904151]","[12701551]","[13996117]"
"Smyrna","Georgia","[5825979]","[15905842]","[12700409]","[13993373]"
"Owatonna","Minnesota","[5825961]","[15900002]","[12702304]","[14000176]"
"Lake Elsinore","California","[12237617]","[15905088]","[12701455]","[13993102]"
"Kingsford","Michigan","[5826109]","[15902102]","[12699126]","[13993519]"
"Canton","Ohio","[14722843]","[15905201]","[12700262]","[13998147]"
"Crisfield","Maryland","[15424356]","[]","[12702427]","[]"
"Jacksonville","North Carolina","[15016439]","[15898116]","[12699620]","[13995451]"
"Reno","Nevada","[12922433,14819997]","[15900227]","[12700893]","[13999127]"
"San Antonio","Texas","[1747698,12508700,12903350,12922360,14191388,14813565]","[15898044]","[12704642]","[13992098]"
"Wausau","Wisconsin","[5826195]","[15899933]","[12703986]","[13997464]"
"Dothan","Alabama","[1457150]","[15906169]","[12700773]","[13996474]"
"Madisonville","Kentucky","[1457224]","[15896817]","[12700462]","[13992668]"
"Boone","North Carolina","[5826182]","[15899608]","[12698766]","[13994536]"
"Fort Payne","Alabama","[5826081]","[15906064]","[12698864]","[13992203]"
"Pasadena","California","[12730174,15593643]","[15897425]","[12699981]","[13997191]"
"Fullerton","California","[1747590]","[15901020]","[12702360]","[14001134]"
"Bowling Green","Kentucky","[1747707]","[15902871]","[12702669]","[13994959]"
"Spartanburg","South Carolina","[12728531]","[15902814]","[12699576]","[13992320]"
"Selma","Alabama","[5826076]","[15898987]","[12699493]","[13999562]"
"Onalaska","Wisconsin","[5825977]","[15902945]","[12703876]","[13998054]"
"Thibodaux","Louisiana","[5826019]","[15896922]","[12704316]","[13997451]"
"Massena","New York","[1747650]","[15899492]","[12703958]","[13999939]"
"Sheridan","Wyoming","[5825995]","[15900073]","[12703059]","[13992312]"
"Rancho Penasquitos","California","[1747566]","[]","[]","[]"
"Delano","California","[5826022]","[15897242]","[12700270]","[14000498]"
"Whittier","California","[15058820]","[15903281]","[12701910]","[13990865]"
"Ludington","Michigan","[5826151]","[15901262]","[12704774]","[14000984]"
"Gainesville","Georgia","[12981475]","[15902802]","[12700939]","[13991781]"
"Hickory","North Carolina","[5825962]","[15905007]","[12701686]","[14000326]"
"Mankato","Minnesota","[5826023]","[15904882]","[12704282]","[13994617]"
"McKinney","Texas","[13347643]","[]","[]","[]"
"Florissant","Missouri","[5826091]","[15905365]","[12705015]","[13994833]"
"Plymouth","Wisconsin","[1747627]","[15904984]","[12699982]","[13999541]"
"Oviedo","Florida","[15058093]","[15900752]","[12702462]","[14000373]"
"Hoover","Alabama","[5826146]","[15901752]","[13139227]","[14000115]"
"Durango","Colorado","[5826003]","[15899214]","[12704674]","[13998809]"
"Anderson","South Carolina","[11948064]","[15905074]","[12701083]","[13992572]"
