"City","State","Locations","Packages","Internets","TVs"
"Lancaster","California","[11833578]","[15903856]","[12700627]","[13993752]"
"Henderson","Kentucky","[2069566]","[15905297]","[12704019]","[13991799]"
"Fort Worth","Texas","[11200690,11286705,11585180,12922337,15968201]","[15901938]","[12704681]","[13997974]"
"Cheektowaga","New York","[1457137]","[15906838]","[13139695]","[13994758]"
"Lincoln City","Oregon","[5826073]","[15905021]","[12699465]","[14000978]"
"El Paso","Texas","[1457228,1747734,12635355]","[15905479]","[12703018]","[13998815]"
"Hueytown","Alabama","[13539591]","[]","[]","[]"
"Southern Shores","North Carolina","[8847990]","[15899589]","[13140715]","[13993826]"
"Rockingham","North Carolina","[1747677]","[15897501]","[12700812]","[14000815]"
"Wadsworth","Ohio","[1747530]","[15899530]","[12700000]","[13990640]"
"Kansas City","Missouri","[2069562,13014958]","[15900336]","[12700952]","[13993745]"
"Columbia","Tennessee","[5825915]","[15898816]","[12703599]","[13992390]"
"Kennewick","Washington","[14618772]","[15902652]","[12702289]","[13996310]"
"Simi Valley","California","[12669946]","[15904093]","[12700901]","[13993823]"
"Apex","North Carolina","[13116895]","[15896964]","[12699755]","[13999400]"
"Olean","New York","[1747556]","[15898938]","[12702460]","[13997620]"
"London","Kentucky","[1747547]","[15906335]","[12699800]","[13992661]"
"Corpus Christi","Texas","[1747688]","[15902281]","[12703091]","[13990920]"
"Cedar Park","Texas","[14618819]","[15899566]","[12704416]","[13992379]"
"Bunnell","Florida","[5826054]","[15903764]","[12704082]","[14000679]"
"Moreno Valley","California","[1747563]","[15906159]","[12700061]","[13996118]"
"Littleton","New Hampshire","[1457220]","[15902503]","[12702953]","[14000544]"
"Yucca Valley","California","[1747741]","[15905068]","[12700168]","[13992137]"
"Beloit","Wisconsin","[5826037]","[15905344]","[12699595]","[13993440]"
"Thousand Oaks","California","[2838838]","[15902266]","[12704477]","[14001065]"
"Indianapolis","Indiana","[5826083]","[15905799]","[12698714]","[13991806]"
"Missoula","Montana","[14922615]","[15899342]","[12704540]","[13992898]"
"Lenoir","North Carolina","[5826046]","[15903954]","[12700869]","[13998230]"
"Granbury","Texas","[5826187]","[15905910]","[12702111]","[13996913]"
"Henrietta","New York","[12922425]","[15898505]","[12703192]","[14001140]"
"El Centro","California","[12981487]","[15903686]","[12703355]","[13997118]"
"Berea","Kentucky","[1747696]","[15906281]","[12702914]","[13990681]"
"Plainwell","Michigan","[5826108]","[15897998]","[12698570]","[14000803]"
"Downey","California","[12910509]","[15904974]","[12699942]","[13999010]"
"Ventura","California","[5825938]","[15903669]","[12699999]","[13996396]"
"Lawrenceburg","Kentucky","[1747534]","[15899203]","[12701207]","[13998231]"
"Shiloh","Illinois","[14820130]","[15903258]","[13139368]","[14000615]"
"Queens","New York","[1457201,15058606]","[15899979]","[13139425]","[13999323]"
"Portage","Michigan","[13116497]","[15906774]","[12701981]","[14001188]"
"Kailua Kona","Hawaii","[15464050]","[15906819]","[12698546]","[13993513]"
"Elizabeth City","North Carolina","[1747733]","[15903489]","[12704676]","[14000080]"
"Florence","South Carolina","[16007523]","[15899126]","[12700275]","[13994786]"
"Springdale","Ohio","[11397734]","[15903918]","[13140160]","[13996381]"
"Hermitage","Pennsylvania","[1457192]","[15897660]","[12702693]","[13997567]"
"Temecula","California","[13014900]","[15903272]","[12700906]","[14001218]"
"Austin","Minnesota","[5826047]","[15900545]","[12698763]","[13991301]"
"Auburndale","Florida","[5825942]","[15906278]","[12702163]","[13990462]"
"Long Beach","California","[5826053,15016514]","[15903479]","[12702374]","[13999496]"
"Goldsboro","North Carolina","[1747759]","[15898931]","[12704265]","[13997340]"
"Lihue","Hawaii","[1747661]","[15897070]","[13139056]","[13992890]"
"Seminole","Florida","[15058710]","[15897230]","[12698992]","[14000197]"
"Van Nuys","California","[1747571]","[15904588]","[12700246]","[13993396]"
"Carrollton","Texas","[12279167]","[]","[]","[]"
"Spring","Texas","[5826058]","[15901245]","[12702727]","[13999995]"
"Montgomery","Alabama","[5826180]","[15906894]","[12703710]","[13999517]"
"Reidsville","North Carolina","[1747587]","[15899833]","[12699569]","[13993355]"
"Glens Falls","New York","[1747633]","[15899807]","[12703027]","[13992215]"
"Kingsport","Tennessee","[5825950]","[15898086]","[12699286]","[13993968]"
"Flushing","New York","[2496638]","[15902576]","[12700688]","[13993262]"
"Zanesville","Ohio","[1747740]","[15906120]","[12702328]","[13994503]"
"Oshkosh","Wisconsin","[16007521]","[15899221]","[12701297]","[13999109]"
"New Hartford","New York","[13539730]","[15903618]","[12704127]","[13994219]"
"Pleasant Prairie","Wisconsin","[14357026]","[15898903]","[12703387]","[13996136]"
"Hilton Head","South Carolina","[1457197]","[]","[]","[]"
"Beachwood","Ohio","[12670170]","[15901674]","[12701503]","[13997071]"
"Liberty","New York","[1457217]","[15905835]","[12704193]","[13993303]"
"Thomaston","Georgia","[5826021]","[15904553]","[12704227]","[13991478]"
"Rockland","Maine","[1747687]","[15905854]","[12703550]","[13991875]"
"Fort Benning","Georgia","[5826208]","[15902502]","[12702855]","[14000514]"
"Brockport","New York","[1457132]","[15901982]","[12699347]","[13999845]"
"Warrensburg","Missouri","[5826156]","[15905861]","[12704566]","[13994486]"
"South Portland","Maine","[11651169]","[15904162]","[12701649]","[13996380]"
"Suffolk","Virginia","[5826045]","[15896896]","[12701490]","[13996604]"
"Frisco","Texas","[8847993]","[15905575]","[12698617]","[13992625]"
"New Braunfels","Texas","[1457237]","[15904319]","[12700298]","[13992486]"
"Monroe","Michigan","[5825936]","[15904802]","[12701709]","[13991629]"
